"מועדון","שם","מפתח","רמה","סיכון","מקורות","כמה","עמדה","לאום","לידה","עונות","תקופה","תארים","בבריכה","חידה מספר","מועדונים בערך האנגלי"
"מכביdle","איתי שכטר","33841","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","FW","IL","1987","3","18/19-20/21","3","כן","74",""
"מכביdle","אנריק סאבוריט","201608","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","DF","ES","1992","6","18/19-23/24","4","כן","91",""
"מכביdle","דניאל פרץ","106014","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","GK","IL","2000","4","18/19, 20/21-22/23","2","כן","29",""
"מכביdle","ז'איר אמאדור","201590","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","DF","PT","1989","2","18/19-19/20","2","","",""
"מכביdle","מאור קנדיל","39279","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","DF","IL","1993","5","18/19-22/23","3","כן","30",""
"מכביdle","נדב נידם","","מאושר","","קטגוריה · קריירה-עברית · קריירה-אנגלית","2","MF","IL","2001","3","18/19-20/21","3","כן","10",""
"מכביdle","צ'יקו אופואדו","201732","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית","4","FW","NG","1992","2","18/19-19/20","2","","",""
"מכביdle","אילון אלמוג","98244","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","FW","IL","1999","4","19/20-22/23","2","כן","84",""
"מכביdle","אנדראס יאניוטיס","213121","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","GK","GR","1992","1","19/20","1","","",""
"מכביdle","אנדרה ז'ראלדש","213253","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","DF","PT","1991","4","19/20-22/23","2","כן","59",""
"מכביdle","מתן חוזז","66298","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","FW","IL","1996","4","19/20-22/23","2","כן","65",""
"מכביdle","עומר כץ","86256","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · Transfermarkt","4","GK","IL","1998","1","19/20","1","","",""
"מכביdle","פארפה גיאגון","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","MF","CI","2001","2","19/20, 22/23","1","","",""
"מכביdle","אדוארדו גררו","202844","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית","3","FW","IL","2000","1","20/21","1","","",""
"מכביdle","אור יצחק","135349","מקור יחיד","נמוך","התאחדות","1","","IL","","4","20/21-23/24","2","","",""
"מכביdle","אלכסנדר פשיץ'","229605","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","FW","RS","1992","1","20/21","1","","",""
